bin,n,predicted_risk_mean,observed_event_rate,abs_calibration_gap
0,6,0.2402496459398159,0.0,0.2402496459398159
1,5,0.3016938446857407,0.0,0.3016938446857407
2,6,0.35450778400877186,0.16666666666666666,0.1878411173421052
3,5,0.3967901799889876,0.4,0.003209820011012443
4,6,0.449929997346481,0.3333333333333333,0.11659666401314767
5,5,0.5053127850614045,0.6,0.09468721493859544
6,5,0.5382146904682443,0.6,0.06178530953175565
7,6,0.5797684430414672,0.16666666666666666,0.4131017763748006
8,5,0.6285962037292273,0.4,0.2285962037292273
9,6,0.6761642203517293,0.6666666666666666,0.009497553685062665
