feature,importance_mean,importance_std
admission_type,0.0481818181818182,0.04117087954263366
insurance,0.03818181818181819,0.022193737483152197
age_at_admit,0.03272727272727274,0.03020590495606574
admit_hour,0.013636363636363641,0.02867601871925002
gender,0.008181818181818184,0.018608626809507936
race,0.008181818181818184,0.017698111212665266
is_weekend_admit,0.0036363636363636377,0.012331509060227763
age_band,0.0027272727272727284,0.03510315377510514
language,0.0009090909090909094,0.003962635403218796
admit_dayofweek,0.0,0.012856486930664504
admission_location,-0.010000000000000004,0.02601652367500762
admit_month,-0.01727272727272728,0.050280206578272146
marital_status,-0.019090909090909096,0.03657890825223767
