threshold,precision,recall,f1,specificity,youden_j,tp,tn,fp,fn,is_balanced,is_recall_priority
0.05,0.32727272727272727,1.0,0.4931506849315069,0.0,0.0,18,0,37,0,0,0
0.1,0.32727272727272727,1.0,0.4931506849315069,0.0,0.0,18,0,37,0,0,0
0.15,0.32727272727272727,1.0,0.4931506849315069,0.0,0.0,18,0,37,0,0,0
0.2,0.3333333333333333,1.0,0.5,0.02702702702702703,0.027027027027026973,18,1,36,0,0,0
0.25,0.34615384615384615,1.0,0.5142857142857142,0.08108108108108109,0.08108108108108114,18,3,34,0,0,0
0.3,0.391304347826087,1.0,0.5625,0.24324324324324326,0.2432432432432432,18,9,28,0,0,0
0.35,0.43902439024390244,1.0,0.6101694915254238,0.3783783783783784,0.3783783783783785,18,14,23,0,0,0
0.4,0.47058823529411764,0.8888888888888888,0.6153846153846153,0.5135135135135135,0.40240240240240244,16,19,18,2,1,1
0.45,0.4666666666666667,0.7777777777777778,0.5833333333333334,0.5675675675675675,0.3453453453453452,14,21,16,4,0,0
0.5,0.48,0.6666666666666666,0.5581395348837209,0.6486486486486487,0.3153153153153152,12,24,13,6,0,0
0.55,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.7297297297297297,0.17417417417417402,8,27,10,10,0,0
0.6,0.5833333333333334,0.3888888888888889,0.4666666666666666,0.8648648648648649,0.25375375375375375,7,32,5,11,0,0
0.65,0.75,0.16666666666666666,0.27272727272727276,0.972972972972973,0.13963963963963977,3,36,1,15,0,0
0.7,0.0,0.0,0.0,0.972972972972973,-0.027027027027026973,0,36,1,18,0,0
0.75,0.0,0.0,0.0,1.0,0.0,0,37,0,18,0,0
0.8,0.0,0.0,0.0,1.0,0.0,0,37,0,18,0,0
0.85,0.0,0.0,0.0,1.0,0.0,0,37,0,18,0,0
0.9,0.0,0.0,0.0,1.0,0.0,0,37,0,18,0,0
0.95,0.0,0.0,0.0,1.0,0.0,0,37,0,18,0,0
